route	channel	set_id	video_type	target	youtube_video_id	jpg
youtube-2	TH	home_kitchen_cooking_actions_a1_a2	polyglot	EN,ES,FR,DE	HOSCxDk8V_o	data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-14-30b96a246c69/by-assignment/polyglot-home_kitchen_cooking_actions_a1_a2-TH-global_europe_core-7a4233775927-full.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	AZ	zztb8hYK7vY	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/AZ__Ti_ng_Azerbaijan/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	BG	s3D8klBOvt4	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/BG__Ti_ng_Bulgaria/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	BN	QCtQoAxa7zc	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/BN__Ti_ng_Bangla/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	CS	H_mb8z47JFM	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/CS__Ti_ng_S_c/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	DA	I9gfjt4iRoM	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/DA__Ti_ng_an_M_ch/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	DE	EJ9xHCBwkJc	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/DE__Ti_ng_c/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	EN	m2OHIwMW6hw	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/EN__Ti_ng_Anh/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	ES-419	z0f1cJeyvgg	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/ES-419__Ti_ng_T_y_Ban_Nha_Ch_u_M_La-tinh/youtube_thumbnail.jpg
youtube-2	VI	home_kitchen_cookware_pilot_01	ordinary	ET	yrqwr4gCovw	data/youtube-cover-assets/deck1-missing-thumbnail-closeout-20260716/vi/video/by-set/home_kitchen_cookware_pilot_01/ordinary/by-channel/vi__VI__LunaCardsTiengViet/ET__Ti_ng_Estonia/youtube_thumbnail.jpg
