supportLang,targetLang,supportFolder,pairFolder,thumbnailPath,youtubeVideoId,youtubeVideoUrl,channelHandle,targetLabel,topic,subtitle
"EN","EN-GB","EN__English","EN__EN-GB__English_to_English-United-Kingdom","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__EN-GB__English_to_English-United-Kingdom/youtube_thumbnail.jpg","PeV2PkssrkA","https://www.youtube.com/watch?v=PeV2PkssrkA","@flashcardsluna","English (United Kingdom) A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","ES,FR,DE,IT","EN__English","EN__ES,FR,DE,IT__English_to_ES-FR-DE-IT","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__ES,FR,DE,IT__English_to_ES-FR-DE-IT/youtube_thumbnail.jpg","Vb8Q1ryU4iE","https://www.youtube.com/watch?v=Vb8Q1ryU4iE","","ES,FR,DE,IT A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","ES,FR,IT,PT","EN__English","EN__ES,FR,IT,PT__English_to_ES-FR-IT-PT","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__ES,FR,IT,PT__English_to_ES-FR-IT-PT/youtube_thumbnail.jpg","EdPLBoUBSGs","https://www.youtube.com/watch?v=EdPLBoUBSGs","","ES,FR,IT,PT A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","FI","EN__English","EN__FI__English_to_Finnish","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__FI__English_to_Finnish/youtube_thumbnail.jpg","vtTfpX7-uHU","https://www.youtube.com/watch?v=vtTfpX7-uHU","@flashcardsluna","Finnish A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","FR","EN__English","EN__FR__English_to_French","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__FR__English_to_French/youtube_thumbnail.jpg","jg038qdFjQE","https://www.youtube.com/watch?v=jg038qdFjQE","@flashcardsluna","French A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","HI","EN__English","EN__HI__English_to_Hindi","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__HI__English_to_Hindi/youtube_thumbnail.jpg","4lYVgtg3SK0","https://www.youtube.com/watch?v=4lYVgtg3SK0","@flashcardsluna","Hindi A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","HY","EN__English","EN__HY__English_to_Armenian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__HY__English_to_Armenian/youtube_thumbnail.jpg","avAXnM9DsSo","https://www.youtube.com/watch?v=avAXnM9DsSo","@flashcardsluna","Armenian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","IT","EN__English","EN__IT__English_to_Italian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__IT__English_to_Italian/youtube_thumbnail.jpg","QF3uCrsaxQU","https://www.youtube.com/watch?v=QF3uCrsaxQU","@flashcardsluna","Italian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","KK","EN__English","EN__KK__English_to_Kazakh","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__KK__English_to_Kazakh/youtube_thumbnail.jpg","gCcW9__iw7Q","https://www.youtube.com/watch?v=gCcW9__iw7Q","@flashcardsluna","Kazakh A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","KM","EN__English","EN__KM__English_to_Khmer","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__KM__English_to_Khmer/youtube_thumbnail.jpg","j4uHU4I8ScU","https://www.youtube.com/watch?v=j4uHU4I8ScU","@flashcardsluna","Khmer A1","Kitchenware Basics","Cookware and utensils. Basic level."
